model,MAE,RMSE,MAPE(%)
LinearRegression,29.947445677898177,41.38894511940285,42.78345671111157
RandomForest,31.47732050470343,43.34693193683581,37.74467007350521
XGBoost,31.634924978876665,43.46646697989733,39.350873931300924
